esri_id,esri_idn,GEOID,stcnty,total_pop2016,total_25plus,nHwtindiv,prp_nHwHHs,prp_HSminus,prp_no_auto,prp_not_insured,EstPropPersons5PlusNoEnglish,median_HH_inc
370010217021,370010217021,15000US370010217021,37001,1464,207,0.8162568306,0.8288590604,0.5314009662,0.110738255,0.0478142077,0.0840163934,
370010217022,370010217022,15000US370010217022,37001,2545,1774,0.8640471513,0.8720430108,0.0868094701,0,0.0090837283,0.0885608856,97935
370010217023,370010217023,15000US370010217023,37001,1360,863,0.9125,0.9072512648,0.3429895713,0.1011804384,0.0411985019,0.0264797508,45694
370010217031,370010217031,15000US370010217031,37001,2884,1976,0.7253814147,0.7847389558,0.3036437247,0.0152610442,0.0468099861,0.0865867801,71287
370010217032,370010217032,15000US370010217032,37001,2828,2029,0.5908769448,0.7044642857,0.3415475604,0.0348214286,0.1874546773,0.3794378698,40804
370010218011,370010218011,15000US370010218011,37001,2042,1640,0.9407443683,0.9224043716,0.3469512195,0.043715847,0.0784313725,0.0285568587,56250
370010218012,370010218012,15000US370010218012,37001,1479,949,0.9438810007,1,0.3761854584,0.0316205534,0.1318458418,0,49911
370010218013,370010218013,15000US370010218013,37001,859,598,0.9150174622,0.8653295129,0.6086956522,0.0286532951,0.091967404,0.0371747212,56806
370010218021,370010218021,15000US370010218021,37001,1948,1337,0.9630390144,0.9639519359,0.382946896,0.0520694259,0.1237166324,0.0250533049,40982
370010218022,370010218022,15000US370010218022,37001,1717,1216,0.9225393128,0.9166666667,0.5953947368,0,0.131042516,0.005015674,52167
370010218031,370010218031,15000US370010218031,37001,1655,1219,0.8694864048,0.9067278287,0.5791632486,0.0275229358,0.1794561934,0.1136789507,36188
370010218032,370010218032,15000US370010218032,37001,1208,875,0.8948675497,0.9560878244,0.4262857143,0.0399201597,0.1100993377,0,44063
370010219011,370010219011,15000US370010219011,37001,1083,859,0.7645429363,0.8234126984,0.3364377183,0.0158730159,0.0923361034,0.0782122905,47431
370010219012,370010219012,15000US370010219012,37001,1982,1326,0.8965691221,0.8956406869,0.3476621418,0.0409511229,0.0701311806,0.0263748597,73295
370010219013,370010219013,15000US370010219013,37001,1131,792,0.9186560566,0.9524940618,0.4823232323,0,0.0893015031,0,47969
370010219021,370010219021,15000US370010219021,37001,1660,1108,0.8253012048,0.8343283582,0.4476534296,0.0104477612,0.1174698795,0.0969962453,38750
370010219022,370010219022,15000US370010219022,37001,690,558,0.9028985507,0.8774834437,0.3405017921,0,0.1072463768,0.0167173252,73068
370010219023,370010219023,15000US370010219023,37001,2062,1455,0.8438409311,0.9007537688,0.4597938144,0.040201005,0.1867119302,0.0285714286,71500
370010220011,370010220011,15000US370010220011,37001,1404,1001,0.7742165242,0.8348294434,0.4085914086,0.0215439856,0.0933048433,0.0455563854,59625
370010220012,370010220012,15000US370010220012,37001,2190,1500,0.796347032,0.8120728929,0.408,0.0125284738,0.1812785388,0.118844697,53125
370010220021,370010220021,15000US370010220021,37001,1730,1237,0.7936416185,0.8146551724,0.3880355699,0.0014367816,0.1473988439,0.1361445783,53795
370010220022,370010220022,15000US370010220022,37001,964,687,0.5560165975,0.7019230769,0.5443959243,0,0.0850622407,0.1852260198,40987
370010220023,370010220023,15000US370010220023,37001,1594,1185,0.7383939774,0.7950693374,0.4329113924,0.0092449923,0.1135508156,0.0893089961,57821
370030401001,370030401001,15000US370030401001,37003,1295,848,0.9961389961,0.9887133183,0.6179245283,0.0248306998,0.1258687259,0.0050632911,44647
370030401002,370030401002,15000US370030401002,37003,510,370,0.9196078431,0.8146341463,0.5459459459,0.0195121951,0.1215686275,0,36979
370030401003,370030401003,15000US370030401003,37003,1492,1129,0.9899463807,1,0.6713906112,0.028125,0.0998659517,0.0076762038,42643
